date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,went_to_shootout,outcome,home_elo,away_elo,elo_diff,home_recent_winrate,away_recent_winrate,home_recent_gd,away_recent_gd,form_diff,h2h_winrate,home_advantage
1888-03-17,Scotland,England,0,5,British Home Championship,Glasgow,Scotland,False,False,away_win,1704.9068409114911,1557.7472053058411,147.15963560565,1.0,0.8,2.6,3.2,0.19999999999999996,0.625,1
1888-03-24,Northern Ireland,Scotland,2,10,British Home Championship,Belfast,Ireland,False,False,away_win,1342.6522314499084,1682.5080431779427,-339.85581172803427,0.2,0.8,-4.6,1.0,-0.6000000000000001,0.0,1
1888-04-07,Northern Ireland,England,1,5,British Home Championship,Belfast,Ireland,False,False,away_win,1338.688688234218,1580.1460030393896,-241.45731480517156,0.2,0.8,-5.2,3.8,-0.6000000000000001,0.0,1
1888-09-19,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False,False,home_win,1686.471586393633,1498.5304984710244,187.94108792260863,0.8,0.5,2.0,0.0,0.30000000000000004,0.5,1
1889-02-23,England,Wales,4,1,British Home Championship,Stoke-on-Trent,England,False,False,home_win,1586.5273576066113,1394.6937223327593,191.833635273852,0.8,0.2,3.2,-0.4,0.6000000000000001,0.7,1
1889-03-02,England,Northern Ireland,6,1,British Home Championship,Liverpool,England,False,False,home_win,1594.4933805658898,1332.3073336669963,262.18604689889344,0.8,0.2,3.0,-4.6,0.6000000000000001,1.0,1
1889-03-09,Scotland,Northern Ireland,7,0,British Home Championship,Glasgow,Scotland,False,False,home_win,1694.5724244778191,1326.5138020479594,368.0586224298597,0.8,0.2,2.6,-5.0,0.6000000000000001,1.0,1
1889-04-13,England,Scotland,2,3,British Home Championship,London,England,False,False,away_win,1600.2869121849267,1698.0057369295412,-97.7188247446145,1.0,0.8,4.2,3.6,0.19999999999999996,0.17647058823529413,1
1889-04-15,Wales,Scotland,0,0,British Home Championship,Wrexham,Wales,False,False,draw,1386.7276993734808,1709.6206421998672,-322.8929428263864,0.2,0.8,-0.4,3.0,-0.6000000000000001,0.0,1
1889-04-27,Northern Ireland,Wales,1,3,British Home Championship,Belfast,Ireland,False,False,away_win,1323.0804895962374,1398.4124297069,-75.33194011066257,0.0,0.2,-7.0,0.0,-0.2,0.14285714285714285,1
